time,type,name,authors
June 20: 9:00-17:00,day
9:00,,"Welcome: Opening Remarks"
9:05-9:40,invited,"Invited Talk: Declarative Heuristics","Malte Helmert"
9:50,,"On the Relationship Between State-Dependent Action Costs and Conditional Effects in Planning","Robert Mattmüller, Florian Geißer, Benedict Wright and Bernhard Nebel"
10:10,,"Cost-Length Tradeoff Heuristics for Bounded-Cost Search","Sean Dobson and Patrik Haslum"
10:30,break,Coffee Break,
11:00,,"Tie-Breaking in A* as Satisficing Search","Masataro Asai and Alex Fukunaga"
11:20,,"A Graph-Partitioning Based Approach for Parallel Best-First Search","Yuu Jinnai and Alex Fukunaga"
11:40,,"Forward Search with Backward Analysis","Shlomi Maliah, Ronen Brafman and Guy Shani"
12:00,,"Exploiting Variance Information in Monte-Carlo Tree Search","Robert Lieck, Vien Ngo and Marc Toussaint"
12:30-14:00,break,Lunch,
14:00,,"Beyond Forks: Finding and Ranking Star Factorings for Decoupled Search","Daniel Gnad, Valerie Poser and Joerg Hoffmann"
14:20,,"Structural Symmetries of the Lifted Representation of Classical Planning Tasks","Silvan Sievers, Gabriele Röger, Martin Wehrle and Michael Katz"
14:40,,"Strengthening Canonical Pattern Databases with Structural Symmetries","Silvan Sievers, Martin Wehrle and Michael Katz"
15:00,,"From Qualitative to Quantitative Dominance Pruning for Optimal Planning","Álvaro Torralba"
15:30-16:00,break,Coffee Break,
16:00,,"Optimal Solutions to Large Logistics Planning Domain Problems","Gerald Paul, Gabriele Röger, Thomas Keller and Malte Helmert"
16:20,,"Equi-Reward Utility Maximizing Design in Stochastic Environments","Sarah Keren, Luis Pineda, Avigdor Gal, Erez Karpas and Shlomo Zilberstein"
